WKT,highway,noname,name,surface,maxspeed,ref,lanes,oneway,service,bridge,layer
"LINESTRING (-59.6382417 13.2497531,-59.6382809 13.2490829)",residential,yes,,,,,,,,,
"LINESTRING (-59.6355785 13.252188,-59.6356965 13.2522506,-59.6358252 13.2523029)",tertiary,,Whim Road,,,,,,,yes,1
"LINESTRING (-59.638337 13.2531072,-59.6383212 13.2530968,-59.6378579 13.2524415)",residential,,Endeavour Close,asphalt,,,,,,,
"LINESTRING (-59.6358252 13.2523029,-59.6359432 13.2523029,-59.6360515 13.252304,-59.6363238 13.2522622,-59.6364619 13.2522543,-59.6365853 13.2523,-59.6366966 13.2524188,-59.6367797 13.2525924,-59.6368924 13.2527791,-59.6370493 13.2529997,-59.6371539 13.2531277,-59.6373215 13.2533143,-59.6374811 13.2534357,-59.6376783 13.2535911)",tertiary,,The Whim,asphalt,,,2,,,,
"LINESTRING (-59.6381526 13.2532241,-59.6381288 13.2532012,-59.6380028 13.2530942,-59.6377614 13.2529688,-59.6373161 13.2527548)",residential,yes,,asphalt,,,,,,,
"LINESTRING (-59.631522 13.2517088,-59.6315282 13.250926,-59.6315159 13.2502448)",residential,yes,,,,,,,,,
"LINESTRING (-59.6300723 13.2524568,-59.6303986 13.2510933,-59.6304661 13.2510216,-59.6306012 13.2509857,-59.6315282 13.250926,-59.6321851 13.2509798)",residential,yes,,,,,,,,,
"LINESTRING (-59.623367 13.2402587,-59.6236013 13.2377378,-59.6236951 13.2375153)",residential,yes,,asphalt,,,,,,,
"LINESTRING (-59.6232017 13.2401351,-59.6230941 13.2401415,-59.6229868 13.2401101,-59.6229224 13.2400162,-59.6228366 13.2398908,-59.6227722 13.2397133,-59.6226649 13.2395984,-59.6225684 13.239494,-59.6224503 13.2394522)",service,yes,,,,,,,,,
"LINESTRING (-59.6273302 13.2417393,-59.6275251 13.2418229,-59.6278255 13.2419378,-59.6281366 13.2420109,-59.628319 13.2420735,-59.6284585 13.2421466,-59.628598 13.2421884,-59.6287053 13.242084,-59.6287804 13.2419691,-59.6288233 13.2419064,-59.6288984 13.2418438,-59.6290164 13.2419064)",service,yes,,,,,,,,,
"LINESTRING (-59.6253531 13.2407008,-59.6251587 13.2407451,-59.6247136 13.2407631,-59.6243273 13.2406712,-59.6238982 13.2405124,-59.6234604 13.2403286,-59.623367 13.2402587,-59.6232017 13.2401351,-59.6231829 13.2401197,-59.6230756 13.2399873,-59.6229785 13.2397675,-59.6229693 13.2397139,-59.6229442 13.239567,-59.6228927 13.2393581,-59.622737 13.2391668,-59.6225197 13.2391015,-59.622281 13.2390872,-59.6220906 13.239095,-59.6219846 13.2390872,-59.6218854 13.2390467,-59.6217674 13.2389723,-59.6216735 13.2389135,-59.6215528 13.238877,-59.6214355 13.2388848,-59.621306 13.2389194,-59.6211625 13.2389312,-59.6210787 13.2389227,-59.6209989 13.2388946,-59.6209413 13.2388561,-59.6208849 13.2388071,-59.6208481 13.2387412,-59.6208045 13.2386309,-59.6207844 13.2385676,-59.6207455 13.2385193,-59.6206804 13.2384782,-59.6205902 13.2384585,-59.6203881 13.2384403,-59.6203472 13.2384266,-59.6203123 13.2384024,-59.6202801 13.2383737,-59.6202469 13.2383331,-59.6202125 13.2382078)",unclassified,,Mangrove,asphalt,40,,,,,,
"LINESTRING (-59.6228366 13.2398908,-59.6227829 13.2399639,-59.6227829 13.2400893,-59.6227293 13.2401728,-59.6226649 13.2402146,-59.6225791 13.2402564,-59.6225147 13.2402564,-59.6224825 13.2402041,-59.6224825 13.240131)",service,yes,,,,,,,,,
"LINESTRING (-59.6156207 13.2397657,-59.6154643 13.2398414,-59.6153621 13.240169,-59.6153793 13.2403862,-59.6155252 13.2405701,-59.6157226 13.2406452,-59.6160659 13.2408207,-59.6162719 13.2410713,-59.6163406 13.2412635,-59.6163577 13.2415142,-59.6162977 13.24184,-59.6162548 13.2419653,-59.6160659 13.2420154,-59.6158685 13.2420489,-59.6154651 13.2420405,-59.6148385 13.2420238,-59.6146669 13.2420656)",residential,yes,,,,,,,,,
"LINESTRING (-59.6146669 13.2420656,-59.6147239 13.2414236,-59.6148012 13.2411145,-59.6149128 13.240914,-59.6151445 13.2407302,-59.6153934 13.2406633,-59.6155252 13.2405701)",service,yes,,,,,,,,,
"LINESTRING (-59.6405063 13.2445087,-59.6406728 13.2455745)",residential,yes,,,,,,,,,
"LINESTRING (-59.6400483 13.2462904,-59.6405663 13.2460639)",residential,yes,,,,,,,,,
"LINESTRING (-59.6405663 13.2460639,-59.6405911 13.2461253,-59.6406139 13.2462793,-59.6406155 13.2465976)",residential,,,,,,,,,,
"LINESTRING (-59.6407092 13.252593,-59.6405381 13.2527004,-59.640184 13.2527342,-59.6399754 13.2527998,-59.6398429 13.2528252,-59.6389966 13.2531089)",residential,yes,,asphalt,,,,,,,
"LINESTRING (-59.640708 13.2571911,-59.6407571 13.2580365)",residential,,4th Ave North Drive,asphalt,,,,,,,
"LINESTRING (-59.5984465 13.2673808,-59.5983593 13.2675258,-59.5981447 13.2676595,-59.5979473 13.2677848,-59.5977242 13.2679352,-59.5974753 13.2680855,-59.5969165 13.2683336,-59.5968161 13.2684611,-59.5967919 13.2687018,-59.5967899 13.2688591,-59.5968028 13.2691182,-59.5968001 13.2693166,-59.5968578 13.2693962)",unclassified,yes,,,,,,,,,
"LINESTRING (-59.6393443 13.2609781,-59.6393575 13.261021,-59.6393991 13.2610485,-59.6394675 13.261072,-59.6395694 13.2610733,-59.639733 13.2610772,-59.6400173 13.2611659,-59.6402601 13.2612638,-59.6403473 13.26132,-59.6404371 13.2613526,-59.640539 13.2613683,-59.6406302 13.2613617,-59.6407053 13.2613161,-59.6407684 13.261243)",residential,,East Drive,asphalt,40,,,,,,
"LINESTRING (-59.6033728 13.2722169,-59.6033044 13.2721647,-59.6032574 13.2720869,-59.6030087 13.2716753,-59.6026825 13.2710738,-59.6025452 13.2707981,-59.6022705 13.2704138,-59.6019701 13.2700212,-59.6017652 13.2697444,-59.6016354 13.26952,-59.6012921 13.2690271,-59.6010517 13.2687514,-59.6006483 13.2683588,-59.6002535 13.2679912,-59.6000046 13.2678074,-59.5996749 13.2677639,-59.5990644 13.2675813,-59.5986608 13.2674503,-59.5984465 13.2673808,-59.5973783 13.2669852,-59.596893 13.2667711,-59.5950768 13.2659196,-59.5946671 13.2657275,-59.5941248 13.2654598,-59.5934382 13.2651423,-59.593185 13.2650249,-59.5930094 13.2647498,-59.5928892 13.2645159,-59.5928892 13.2642737,-59.5929236 13.263881,-59.5929912 13.2634852,-59.5930415 13.2632481,-59.5930759 13.2629473,-59.5931874 13.2626549,-59.5933334 13.2623041,-59.5934535 13.2618613,-59.5934471 13.2615419,-59.5933871 13.2612244,-59.5932755 13.2608568,-59.5930695 13.2603973,-59.592915 13.2600465,-59.5927862 13.2597206,-59.5926575 13.2593531,-59.5924515 13.2589688,-59.5921168 13.2586346,-59.5916876 13.2583338,-59.5912241 13.2580164,-59.5908465 13.2577574,-59.5906491 13.2574316,-59.590486 13.2571392,-59.5903916 13.2568885,-59.5901942 13.2566546,-59.5898337 13.256404,-59.5893101 13.2562369,-59.5885634 13.256003,-59.5879368 13.2558113,-59.5876021 13.255711,-59.5870098 13.2555606,-59.5864434 13.255452,-59.5857395 13.2553936,-59.5848641 13.2553852,-59.5842203 13.255427)",primary,,Charles Duncan O'Neil Highway,asphalt,60,,2,,,,
"LINESTRING (-59.6125442 13.2704168,-59.612444 13.2702687,-59.6122949 13.2701411,-59.6122412 13.2699636,-59.6122519 13.2698696,-59.6123056 13.2698383,-59.6124129 13.2698279,-59.612841 13.2698719,-59.6129053 13.2697675)",service,yes,,,,,,,,,
"LINESTRING (-59.619394 13.2693246,-59.6193996 13.2689258)",residential,,,,,,,,,,
"LINESTRING (-59.6168099 13.2700379,-59.6168287 13.269756,-59.6168233 13.2696594,-59.616759 13.2696228,-59.6166892 13.2696228,-59.6166061 13.269662,-59.6163781 13.2698108,-59.6162896 13.2699439,-59.6162061 13.2701642)",residential,,,,,,,,,,
"LINESTRING (-59.6190714 13.2685576,-59.6190473 13.268876,-59.6189947 13.269142,-59.6190348 13.2692691,-59.6191469 13.2693149,-59.619394 13.2693246,-59.6196357 13.2693342,-59.6196997 13.269391,-59.6207191 13.2693839)",residential,yes,,asphalt,,,,,,,
"LINESTRING (-59.6166624 13.2703225,-59.6162061 13.2701642,-59.6159337 13.2700698)",residential,,,,,,,,,,
"LINESTRING (-59.6215887 13.2692206,-59.6209664 13.2692206,-59.6207355 13.2692348)",residential,,Lower Rose Hill,asphalt,,,,,,,
