WKT,highway,noname,name,surface,maxspeed,ref,lanes,oneway,service,bridge,layer
"LINESTRING (-59.634703 13.2425414,-59.6347023 13.2424144,-59.6347281 13.2422808,-59.6347337 13.2421553,-59.6347367 13.2420886,-59.6347367 13.2418714,-59.6347109 13.2416625,-59.6346766 13.2414453,-59.6346423 13.2412782,-59.6346337 13.2411445,-59.6346852 13.2410359,-59.6347968 13.2409523,-59.6349427 13.2408604,-59.6350285 13.2408103,-59.6351315 13.2407351,-59.6351401 13.2406599,-59.6351315 13.240568,-59.6352345 13.2404761,-59.6353547 13.2404176,-59.6355092 13.2403675,-59.6357151 13.240309,-59.6358525 13.2402923,-59.6359726 13.2402422,-59.63611 13.2400834,-59.6362215 13.2399832,-59.6363331 13.2399915,-59.6364447 13.2400584,-59.6365134 13.240192,-59.6365906 13.2403174,-59.636788 13.2403591,-59.6370369 13.2403424,-59.6372258 13.2403675,-59.6373803 13.2404009,-59.6375519 13.2404594)",track,yes,,,,,,,,,
"LINESTRING (-59.6386162 13.2389137,-59.6381442 13.2389304,-59.6375777 13.2389555,-59.6369082 13.2389973,-59.6363589 13.2390307,-59.6359126 13.2390808,-59.6355092 13.2390975,-59.6342646 13.2392229,-59.6338955 13.2392563,-59.6336731 13.2392864,-59.6335865 13.2392981,-59.6332861 13.2393649,-59.6327883 13.2394819,-59.6325051 13.2395654,-59.6323763 13.2395905,-59.6320759 13.2396406,-59.6314322 13.2396657,-59.6310202 13.2396824,-59.6307627 13.2397242,-59.6306254 13.2398411,-59.6305825 13.2399748,-59.6305567 13.2401586,-59.6303765 13.2404343,-59.6302134 13.2406683,-59.6301018 13.240969,-59.6299902 13.2413534,-59.6298701 13.2421722,-59.6298308 13.242457,-59.629742 13.2431011)",track,yes,,,,,,,,,
"LINESTRING (-59.6341002 13.2516003,-59.6336687 13.2512376)",track,yes,,,,,,,,,
"LINESTRING (-59.6323763 13.2395905,-59.6323592 13.239273,-59.6323248 13.2387801,-59.6322648 13.238354,-59.632239 13.2380448,-59.6321961 13.2377691)",track,yes,,,,,,,,,
"LINESTRING (-59.6347337 13.2421553,-59.634874 13.2421137,-59.6351143 13.2421137,-59.635389 13.2421137,-59.6356293 13.2421137,-59.6357581 13.242122,-59.6359211 13.2421554,-59.6360928 13.2422056,-59.6362645 13.2421972,-59.6364705 13.2421554,-59.6366765 13.2421554)",track,yes,,,,,,,,,
"LINESTRING (-59.6296641 13.2358057,-59.6297757 13.2360145,-59.6298186 13.23619,-59.6298186 13.2363488,-59.6298272 13.2365159,-59.6298443 13.2366412,-59.62981 13.2367749,-59.6297499 13.2369002,-59.629707 13.2370673,-59.6297242 13.2372093,-59.6297842 13.2374349,-59.6299302 13.2381117,-59.6299902 13.2382119,-59.6301018 13.2382788,-59.6302391 13.2383205,-59.6303593 13.2383205,-59.6304709 13.2382871,-59.6306769 13.2382119,-59.6308915 13.23812,-59.6315781 13.2379111,-59.6321961 13.2377691,-59.632445 13.2376939,-59.6325737 13.2376605,-59.6326081 13.2376104,-59.6328312 13.2375185,-59.6330801 13.2374015,-59.6332604 13.2373096,-59.6334406 13.2372845,-59.6335522 13.2373096,-59.6335265 13.2375352,-59.6335522 13.2379278,-59.6335951 13.2384876,-59.6336466 13.2389388,-59.6336731 13.2392864)",track,yes,,,,,,,,,
"LINESTRING (-59.6107383 13.2416814,-59.6103786 13.2397508)",track,yes,,,,,,,,,
"LINESTRING (-59.6146669 13.2420656,-59.6121295 13.2417894,-59.6107383 13.2416814,-59.6096064 13.2415936,-59.608147 13.2414803,-59.607674 13.2415849,-59.6073917 13.2416474,-59.606911 13.2417226,-59.6063102 13.2416892,-59.6049369 13.2416808,-59.6044134 13.2417309)",track,yes,,,,,,,,,
"LINESTRING (-59.5896485 13.2703098,-59.5897257 13.2702681,-59.5902407 13.2703098,-59.5905926 13.2703767,-59.5908758 13.2704017,-59.5910647 13.2703934)",track,yes,,,,,,,,,
"LINESTRING (-59.5911333 13.2709364,-59.5911333 13.2707192,-59.5911419 13.2705521,-59.5910647 13.2703934,-59.5909702 13.2701678,-59.5909102 13.2699757,-59.5908587 13.2696666,-59.5908844 13.2694995,-59.5908072 13.2690985,-59.5907471 13.2688396,-59.5903093 13.2687142,-59.5900604 13.2686975,-59.5898459 13.2686641,-59.5895626 13.2686307,-59.5894854 13.2687226)",track,yes,,,,,,,,,
