WKT,highway,noname,name,surface,maxspeed,ref,lanes,oneway,service,bridge,layer
"LINESTRING (-7026012.65625982 -2909729.35591476,-7026020.51661063 -2909752.77521972,-7026033.54324349 -2909775.77793578,-7026042.43872088 -2909798.53339307,-7026047.17067088 -2909810.62588794,-7026060.82797308 -2909850.60506508,-7026069.33732373 -2909890.64493399,-7026076.84431235 -2909932.73592199,-7026081.20099648 -2909965.60518457,-7026088.06549352 -2909990.74450438,-7026104.12765602 -2910007.56398646,-7026129.3938846 -2910016.08204169,-7026161.33207377 -2910024.01640879,-7026179.86617073 -2910027.95645437,-7026203.06247484 -2910035.45785987,-7026209.33268601 -2910048.77060343,-7026213.56888215 -2910066.21619536,-7026237.81526076 -2910076.79174453,-7026263.04571444 -2910080.16048657,-7026293.89824126 -2910079.87150948,-7026334.49533307 -2910077.96452666,-7026360.18195241 -2910072.58010284,-7026384.8667099 -2910074.40877499,-7026419.48818382 -2910095.18154403,-7026445.78115901 -2910106.76198088,-7026465.27009492 -2910098.36389223,-7026481.07449257 -2910079.17879231,-7026484.99259894 -2910050.35666128,-7026490.95031548 -2910022.52064768,-7026523.7237885 -2910002.69188942,-7026569.40395832 -2909990.44257074,-7026601.69732928 -2909974.19248997,-7026627.30058352 -2909958.53228023,-7026654.39176784 -2909937.19874398)",track,yes,,,,,,,,,
"LINESTRING (-7026942.43155294 -2910156.21403598,-7026856.74302155 -2910182.1979957,-7026753.58175583 -2910212.45259683,-7026630.90234209 -2910245.97279239,-7026530.30596792 -2910273.63880665,-7026447.12968542 -2910291.88955997,-7026373.74639771 -2910313.64729672,-7026142.69816596 -2910367.17450618,-7026074.4176038 -2910383.74529934,-7026032.64855709 -2910391.8937285,-7026016.38552134 -2910395.07039586,-7025958.32421731 -2910401.26425243,-7025861.71406192 -2910410.36759053,-7025805.68796832 -2910412.42861316,-7025781.01671611 -2910415.73596492,-7025724.00688064 -2910425.00321311,-7025607.01746808 -2910460.00049142,-7025532.09931461 -2910482.28304478,-7025483.30441478 -2910490.43686452,-7025451.33983862 -2910477.37037608,-7025435.24424668 -2910455.40212365,-7025419.06525431 -2910423.16032317,-7025369.42743545 -2910383.50646352,-7025325.47676825 -2910350.47569567,-7025286.56659777 -2910301.99938017,-7025242.39483988 -2910238.11844805,-7025169.39106418 -2910094.81055142,-7025144.44150833 -2910044.81266302,-7025088.02943286 -2909931.7342755)",track,yes,,,,,,,,,
"LINESTRING (-7025334.80161411 -2908099.18314658,-7025280.26781671 -2908192.5111839)",track,yes,,,,,,,,,
"LINESTRING (-7025781.01671611 -2910415.73596492,-7025797.90924388 -2910475.22907088,-7025822.72496662 -2910568.07242693,-7025838.75071774 -2910650.19612024,-7025853.55991543 -2910708.69779121,-7025863.19701177 -2910762.08570315)",track,yes,,,,,,,,,
"LINESTRING (-7026042.43872088 -2909798.53339307,-7026070.20982126 -2909797.55304363,-7026113.2949474 -2909782.75897852,-7026162.54813704 -2909765.84685872,-7026205.63368049 -2909751.05240989,-7026228.20554208 -2909741.59478439,-7026255.33115 -2909725.41132292,-7026282.96027221 -2909705.5997129,-7026314.27447461 -2909696.57451504,-7026353.83920587 -2909691.58539283,-7026390.77550667 -2909678.901967)",track,yes,,,,,,,,,
"LINESTRING (-7025532.60122305 -2911279.28612745,-7025539.49016941 -2911233.98686809,-7025536.15362394 -2911199.04386847,-7025526.17447894 -2911169.81434783,-7025517.21560605 -2911138.52801747,-7025512.40745992 -2911114.41262896,-7025497.85550461 -2911091.91376937,-7025479.20555636 -2911072.54859599,-7025461.01262432 -2911044.43138206,-7025455.1726478 -2911017.23623054,-7025451.7525268 -2910972.02000851,-7025435.39456694 -2910838.46376128,-7025439.85468147 -2910816.32882997,-7025455.65913229 -2910797.14781368,-7025477.65522254 -2910781.02355115,-7025499.20629218 -2910773.62682294,-7025521.31470544 -2910772.90692495,-7025562.97579193 -2910774.07167574,-7025607.22866552 -2910777.78105573,-7025743.46420425 -2910773.97980842,-7025863.19701177 -2910762.08570315,-7025912.55197357 -2910760.61019479,-7025937.72761599 -2910758.83777595,-7025947.04469077 -2910765.94270567,-7025992.82380474 -2910769.12895292,-7026044.80694775 -2910775.34766986,-7026082.91230056 -2910781.1679857,-7026116.80110435 -2910774.69827829,-7026135.23411399 -2910763.2097823,-7026116.44531919 -2910723.26413284,-7026096.37524966 -2910649.41493311,-7026068.87814385 -2910543.73059041,-7026049.74866934 -2910457.50773965,-7026032.64855709 -2910391.8937285)",track,yes,,,,,,,,,
"LINESTRING (-7021770.88668816 -2911362.09005103,-7021827.65816624 -2911739.40402371)",track,yes,,,,,,,,,
"LINESTRING (-7022450.85051324 -2911049.81257075,-7022013.43334546 -2911256.67408107,-7021770.88668816 -2911362.09005103,-7021573.54695556 -2911447.83984649,-7021319.12107383 -2911558.41102543,-7021227.78772023 -2911568.24717418,-7021173.27333376 -2911574.10433129,-7021082.40776816 -2911589.82199814,-7020976.8398295 -2911632.90100345,-7020731.27240274 -2911718.86641232,-7020634.31770214 -2911741.82937975)",track,yes,,,,,,,,,
"LINESTRING (-7016194.38233 -2907394.42605845,-7016210.82612998 -2907397.34175651,-7016300.41944376 -2907357.9902491,-7016359.22522933 -2907324.04065039,-7016408.36337389 -2907302.0199794,-7016442.7093662 -2907291.92279596)",track,yes,,,,,,,,,
"LINESTRING (-7016420.86368176 -2907187.88329199,-7016434.51549657 -2907227.8106071,-7016446.5581293 -2907257.99909629,-7016442.7093662 -2907291.92279596,-7016439.96742123 -2907339.20905146,-7016441.29730312 -2907378.21428821,-7016451.50227073 -2907438.20462031,-7016466.60605115 -2907467.34139242,-7016477.98398495 -2907545.80729357,-7016483.49292133 -2907597.0988553,-7016412.97971359 -2907647.08584248,-7016369.46061448 -2907665.46843438,-7016333.1508428 -2907684.80446142,-7016284.52182042 -2907708.37281348,-7016264.92337677 -2907696.22830562)",track,yes,,,,,,,,,
