WKT,highway,noname,name,surface,maxspeed,ref,service,oneway,lanes,tracktype,smoothness,source_1
"LINESTRING (-7005254.79637283 -2948723.59409464,-7005270.37715484 -2948722.75770351,-7005286.1872573 -2948723.91175364,-7005305.05854313 -2948754.86594597,-7005319.31803387 -2948792.88415469,-7005321.59432587 -2948816.00862896,-7005338.97133023 -2948842.51276739,-7005358.55646917 -2948863.76757052,-7005373.79018595 -2948869.0883837,-7005405.85752864 -2948853.35221237)",track,yes,,,,,,,,,,
"LINESTRING (-7007281.90075539 -2947656.33278115,-7006993.71478509 -2947768.08443547,-7006805.89997887 -2947839.6117064)",track,yes,,unpaved,,,,,,grade4,horrible,
"LINESTRING (-7008129.91953312 -2946704.79181883,-7007892.05811119 -2946161.3700696)",track,yes,,,,,,,,,,
"LINESTRING (-7008059.84712454 -2945947.89136648,-7007930.19206304 -2946075.70795362,-7007896.27025868 -2946113.38902773,-7007890.40290399 -2946138.92706961,-7007892.05811119 -2946161.3700696)",track,yes,,,,,,,,,,
"LINESTRING (-7008553.1744706 -2945751.28084005,-7008059.84712454 -2945947.89136648)",track,yes,,asphalt,,,,,,,,
"LINESTRING (-7006205.40617967 -2942497.50959125,-7006187.02379852 -2942503.7919904,-7006155.74006335 -2942505.89951272,-7006129.34878538 -2942507.00677062,-7006096.20051406 -2942500.61051295,-7006080.20591498 -2942480.0732003)",track,yes,,,,,,,,,,
"LINESTRING (-7005811.56468575 -2942180.02332061,-7005843.72205615 -2942258.10970221,-7005920.38651324 -2942413.03297911,-7005929.19729572 -2942449.57995952)",track,yes,,,,,,,,,,
"LINESTRING (-6996899.57390276 -2943603.0088871,-6996865.62376271 -2943692.18202255,-6996859.72717502 -2943704.87448757,-6996846.32479012 -2943720.61636115,-6996813.70993015 -2943746.08671632,-6996799.04331902 -2943769.21090282,-6996785.51283096 -2943803.71293062)",track,,,,,,,,,,,
"LINESTRING (-6997346.9368695 -2943629.25325368,-6997377.5892725 -2943540.10554422,-6997396.14478542 -2943525.27921554,-6997423.05853104 -2943532.21648471,-6997434.64935771 -2943553.93034987,-6997477.93464891 -2943571.370345,-6997532.41250086 -2943577.51751241,-6997600.83329643 -2943604.6656962)",track,,,gravel,,,,,,grade3,,
"LINESTRING (-6997264.34663876 -2943587.77037156,-6997400.35189444 -2943296.20182322)",track,,,gravel,,,,,,grade3,,
"LINESTRING (-6997647.66092528 -2942153.89840178,-6997785.40746633 -2941857.55047615,-6998193.4969385 -2940908.04321831,-6998281.89104627 -2940709.5040075,-6998284.68648482 -2940685.65971312,-6998276.36929455 -2940640.36802072,-6998073.40553103 -2939783.91618067,-6998035.68793188 -2939659.3240787,-6998028.89277368 -2939583.60025495,-6998010.60281349 -2939518.97333631,-6998000.05092567 -2939474.17315438,-6997991.61225774 -2939465.81812987,-6997983.99534074 -2939463.0371812,-6997906.15013791 -2939451.02027351)",track,yes,,,,,,,,,,
