WKT,highway,name,surface,maxspeed,lit,service,oneway,access,foot,sidewalk,ref,lcn,lanes,bicycle,est_width,cycleway,layer,segregated,motor_vehicle,addr:postcode,bridge,abutters,traffic_calming
"LINESTRING (454554.376863303 338737.457923776,454591.133396297 338767.722586218)",service,North Road No. 2,,15 mph,,,no,,,,,,,,,,-2,,,,,,
"LINESTRING (454538.297903296 338851.513259707,454539.373067294 338839.609965673,454542.324371518 338829.396665315,454547.519557685 338816.872326803,454554.021430554 338806.47658604,454587.241310767 338760.057662036)",trunk_link,,,40 mph,yes,,yes,,,,A52,,2,,,,,,,,,,
"LINESTRING (454511.920063137 338864.599743059,454527.372789079 338832.821542723,454544.907786695 338802.947094267,454563.150039988 338777.119250123,454581.622344202 338753.552548793,454612.251282383 338721.17831276,454645.561148525 338691.871832627)",trunk,Clifton Boulevard,,40 mph,yes,,yes,,,,,,2,,,,-1,,,,,,
"LINESTRING (454634.771517999 338681.414287262,454574.335211131 338747.173242727,454555.277425889 338772.001672868,454537.361943262 338796.865312978,454519.137365741 338827.699930924,454503.582451594 338860.200162825)",trunk,Clifton Boulevard,,40 mph,yes,,yes,,,,,,2,,,,-1,,,,,,
"LINESTRING (455492.304165767 338741.246256037,455501.96209944 338762.885065792,455501.442917384 338771.812922058,455502.050903135 338774.467783215,455508.858044165 338789.765693473,455511.362967253 338791.685800186,455516.747377267 338795.096422611,455553.206491773 338851.866184637,455573.31933583 338873.658684057,455590.636531239 338890.167858925,455611.534271785 338907.96435039,455635.237198968 338923.757242616,455679.29622429 338952.389938068,455702.007561117 338963.799400052)",cycleway,The Big Track / Nottingham Canal Towpath,concrete,,no,,,,yes,,,yes,,yes,1.25,,,,,,,,
"LINESTRING (455554.884865416 338704.060254056,455560.173476748 338707.625580109,455569.262057646 338714.46099974,455588.873297416 338729.071802687,455657.278744754 338776.21905513)",service,,,,,,,private,,,,,,,,,,,,,,,
"LINESTRING (455603.739372508 338757.724184578,455607.626322628 338760.43902649,455558.887053046 338826.576330303,455557.761708946 338830.346085275,455558.021707973 338833.453102848,455559.425720688 338836.428636266,455562.880210523 338839.928387247)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455580.980198539 338742.18708022,455603.739372508 338757.724184578)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455537.171221048 338803.308034168,455575.940382987 338749.138237915,455580.980198539 338742.18708022,455551.598610832 338722.757919564,455546.029181182 338719.066995028)",service,Poplars Court,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455509.505414818 338774.942767541,455514.521653468 338769.4487188,455518.763335768 338764.101537533,455522.977560793 338758.220018068,455526.329433059 338753.107385824,455532.863593846 338742.435157977,455546.029181182 338719.066995028)",tertiary,Lenton Lane,asphalt,,yes,,,,yes,,,,,,,,,,,,,,
"LINESTRING (455514.970265726 338763.156808672,455528.139029047 338742.425390767)",cycleway,,asphalt,,yes,,,,yes,,,yes,,yes,,,,,,,,,
"LINESTRING (455506.193388612 338772.490494131,455509.799797773 338769.205363615,455514.970265726 338763.156808672)",cycleway,,asphalt,,yes,,,,yes,,,yes,,,1.75,track,,,,,,,
"LINESTRING (455479.552886778 338798.229600644,455478.692511988 338796.484141028,455477.354440316 338794.199173201,455473.175797049 338787.030869943,455451.451513406 338749.80031188,455447.734122289 338743.42723712)",residential,Claytons Drive,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455497.368858481 338740.314221001,455495.272696023 338739.667127214,455492.304165767 338741.246256037)",footway,,concrete,,no,,,,yes,,,,,yes,1.25,,,,,,,,
"LINESTRING (455451.451513406 338749.80031188,455457.69616282 338746.189387442)",residential,Claytons Drive,,,,,,,,,,,,,,,,,,,,,
