WKT,highway,noname,name,surface,maxspeed,ref,service,oneway,lanes,tracktype,smoothness,source_1
"LINESTRING (-59.4707714 13.0876195,-59.4721534 13.0878098)",residential,,Sunrise Drive,,,,,,,,,
"LINESTRING (-59.4706658 13.0881601,-59.4720034 13.0883515,-59.4720358 13.0883568,-59.4720719 13.0883491,-59.4720974 13.0883282)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4702652 13.0870279,-59.4703338 13.0870507,-59.4703566 13.087099,-59.4703184 13.0875011,-59.4703056 13.0879311,-59.4702574 13.0879684,-59.4701934 13.0879783)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4694635 13.0875626,-59.4703184 13.0875011)",residential,,Emerald Road,,,,,,,,,
"LINESTRING (-59.4701934 13.0879783,-59.4689879 13.0880728)",residential,,Ibis Avenue,,,,,,,,,
"LINESTRING (-59.4693915 13.0886449,-59.4701706 13.088674)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4693915 13.0886449,-59.4689999 13.0886387)",tertiary,yes,,asphalt,60,,,,,,,
"LINESTRING (-59.4622288 13.0859184,-59.4622232 13.0859547,-59.4621001 13.0867485)",residential,yes,,,,,,,,,,
"LINESTRING (-59.464816 13.0869453,-59.4639239 13.0869544,-59.4631104 13.0874251,-59.462774 13.0874086,-59.4624445 13.0873482,-59.4616245 13.0872455,-59.4612128 13.0871765)",residential,,Turtle Drive,,,,,,,,,
"LINESTRING (-59.4616709 13.0858933,-59.4615558 13.0866821)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4615558 13.0866821,-59.4610176 13.0866157,-59.4606183 13.0865842)",residential,,Horizon Drive,,,,,,,,,
"LINESTRING (-59.4624445 13.0873482,-59.4624658 13.0872042,-59.4624921 13.0870166,-59.4624985 13.0868635,-59.4624397 13.0868085,-59.4621001 13.0867485,-59.4615558 13.0866821)",residential,,Horizon Drive,,,,,,,,,
"LINESTRING (-59.4616245 13.0872455,-59.4613308 13.0897326)",residential,,Atlantic Ridge,,,,,,,,,
"LINESTRING (-59.4609209 13.0897974,-59.4609724 13.0897388,-59.4611355 13.0897138,-59.4613308 13.0897326,-59.4614014 13.0897394,-59.4616233 13.0897608,-59.461823 13.0897801,-59.4620023 13.0897974,-59.4620704 13.0898016,-59.462117 13.0897319,-59.46213 13.0896372,-59.4621597 13.0894215,-59.4621989 13.0891368,-59.4622381 13.088852,-59.462277 13.0885695,-59.4623113 13.0883198,-59.4623473 13.0880586,-59.4623805 13.0878172,-59.4624102 13.0876014,-59.4624346 13.0874246,-59.4624445 13.0873482)",unclassified,,Serenity Drive,,,,,,,,,
"LINESTRING (-59.4627213 13.0899305,-59.4623699 13.0898756,-59.4622117 13.0898626,-59.4620704 13.0898016)",residential,,,,,,,,,,,
"LINESTRING (-59.4608782 13.090068,-59.4608951 13.0899646,-59.4609209 13.0897974)",unclassified,,Serenity Drive,,,,,,,,,
"LINESTRING (-59.4608782 13.090068,-59.4604514 13.0899985,-59.45943 13.0898731)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4582072 13.0888889,-59.4583869 13.0889691,-59.4586229 13.0890605,-59.4586739 13.089105,-59.45869 13.089165,-59.4585451 13.0895073,-59.4585278 13.0895696,-59.4585022 13.0896614,-59.4584491 13.090056)",residential,,,,,,,,,,,
"LINESTRING (-59.457853 13.0900241,-59.4578148 13.0898732,-59.4577805 13.0896893,-59.4577547 13.0894803,-59.4577461 13.0893633,-59.4577633 13.0892713,-59.4578068 13.0892014,-59.4579372 13.0890911,-59.4582072 13.0888889,-59.4582918 13.0888256)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4585278 13.0895696,-59.4580999 13.0895021,-59.4579255 13.0894812,-59.4577547 13.0894803)",residential,,,,,,,,,,,
"LINESTRING (-59.4768569 13.0907305,-59.47705 13.0900042,-59.477329 13.0890114)",service,,,,,,,,,,,
"LINESTRING (-59.4754054 13.0949632,-59.4753982 13.0952468,-59.4754203 13.0956936,-59.4754156 13.0957204,-59.4753946 13.0957336)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4763059 13.1117573,-59.4757667 13.1117808)",residential,,2nd Avenue South Station Drive,asphalt,,,,,,,,
"LINESTRING (-59.4757816 13.1123637,-59.4757667 13.1117808,-59.4757506 13.1114151)",residential,,1st Avenue South Station Drive,asphalt,,,,,,,,
"LINESTRING (-59.4753501 13.1129552,-59.4753353 13.1124072)",residential,,4th Avenue South Station Drive,asphalt,,,,,,,,
"LINESTRING (-59.4763139 13.1123337,-59.4763687 13.1123519,-59.4764111 13.1123847,-59.4764589 13.1125001,-59.4764362 13.1129534)",residential,,3rd Avenue South Station Drive,asphalt,,,,,,,,
"LINESTRING (-59.4769221 13.1135056,-59.4767206 13.1135155,-59.4765265 13.1135241,-59.4763461 13.1135284,-59.4761959 13.1135284)",residential,,4th Avenue Central Station Drive,asphalt,,,,,,,,
"LINESTRING (-59.4781166 13.113515,-59.478068 13.1132075,-59.4779822 13.1129981,-59.4779071 13.1128074,-59.4778186 13.1126742,-59.4777279 13.1126429,-59.4775787 13.1126165,-59.4769935 13.1125752,-59.4764589 13.1125001)",residential,yes,,asphalt,,,,,,,,
"LINESTRING (-59.4776481 13.1137552,-59.4776117 13.1135922,-59.4775427 13.1134224,-59.4774538 13.1132437,-59.4773626 13.1130634,-59.47725 13.1129145,-59.4771266 13.1127891,-59.4770381 13.1127108,-59.4770005 13.1126481,-59.4769935 13.1125752)",residential,yes,,asphalt,,,,,,,,
"LINESTRING (-59.4769877 13.114085,-59.4769633 13.1140959,-59.4769366 13.1140983,-59.4769147 13.1140937,-59.476895 13.1140833,-59.476879 13.114068,-59.476868 13.114049,-59.4768625 13.1140229,-59.4768664 13.1139966,-59.4768791 13.113973,-59.4768993 13.113955,-59.4769245 13.1139446,-59.4769518 13.1139432,-59.4769727 13.1139484,-59.4769914 13.1139588,-59.4770066 13.1139738,-59.4770171 13.1139921,-59.4770225 13.1140177,-59.477019 13.1140436,-59.477007 13.1140669,-59.4769877 13.114085)",residential,,,asphalt,,,,,,,,
"LINESTRING (-59.476868 13.114049,-59.4764673 13.1141564,-59.4760291 13.114218,-59.4757691 13.1142042)",residential,,West Train Line Trace,asphalt,,,,,,,,
"LINESTRING (-59.4757691 13.1142042,-59.4757148 13.1142395,-59.4757148 13.1143118,-59.475761 13.1143911,-59.4759592 13.1144893,-59.4761882 13.1146752)",residential,yes,,asphalt,,,,,,,,
"LINESTRING (-59.4796255 13.1129041,-59.4795047 13.1127675,-59.4794407 13.1127643,-59.4793557 13.1127767,-59.479199 13.1128818,-59.4789355 13.1130318,-59.4786845 13.1131696,-59.4783801 13.1133594,-59.4781166 13.113515,-59.4778752 13.1136435,-59.4776481 13.1137552,-59.4774778 13.1138236,-59.4774197 13.1138494,-59.4770171 13.1139921)",residential,,West Train Line Trace,asphalt,,,,,,,,
"LINESTRING (-59.4769339 13.1146251,-59.4766976 13.1147009,-59.4765275 13.114719,-59.4763733 13.1147152,-59.47627 13.114691,-59.4761882 13.1146752)",residential,,3rd Avenue Central Station Drive,asphalt,,,,,,,,
"LINESTRING (-59.4761882 13.1146752,-59.4761801 13.1147528,-59.4761755 13.1149017,-59.4761557 13.1150697,-59.4761386 13.1152696,-59.4761152 13.1154264,-59.4761595 13.115599,-59.4762189 13.1156523,-59.4763071 13.1156652,-59.4765291 13.1156412,-59.4768156 13.1156612,-59.4772092 13.1157781,-59.4773212 13.1157868,-59.4774365 13.1157662,-59.477621 13.1156292)",residential,,1st Avenue Central Station Drive,asphalt,,,,,,,,
"LINESTRING (-59.4779442 13.1158186,-59.477621 13.1156292,-59.477299 13.1153611,-59.477011 13.1150092,-59.4769339 13.1146251,-59.4769266 13.1142611,-59.4769366 13.1140983)",residential,,Central Station Drive,asphalt,,,,,,,,
"LINESTRING (-59.4755414 13.1162737,-59.4755077 13.1167476)",service,yes,,asphalt,,,parking_aisle,,,,,
"LINESTRING (-59.4757004 13.1163992,-59.4758158 13.1164111,-59.4759852 13.1164253,-59.4760525 13.1165345,-59.4760189 13.116895,-59.4759348 13.1169605,-59.4757618 13.1169534,-59.4756688 13.116945)",service,yes,,asphalt,,,drive-through,yes,,,,
"LINESTRING (-59.4764024 13.1173776,-59.4762638 13.1172424)",service,yes,,asphalt,,,,,,,,
"LINESTRING (-59.4761048 13.1175629,-59.4761459 13.1173866,-59.4762638 13.1172424,-59.476305 13.1171142,-59.476305 13.117018,-59.4762927 13.1169845,-59.4762611 13.1169566,-59.4761678 13.1169326,-59.4761232 13.1169345,-59.4760773 13.1169486,-59.476028 13.1170154,-59.4759814 13.1171115,-59.4759348 13.1172237,-59.4758991 13.1174854,-59.4758909 13.1175522)",service,yes,,asphalt,,,drive-through,yes,,,,
"LINESTRING (-59.4756147 13.1177246,-59.475617 13.1176046,-59.4756219 13.1175146,-59.4756468 13.1173345,-59.4756688 13.116945,-59.475677 13.1167666,-59.4757004 13.1163992,-59.4756926 13.1162745,-59.4756993 13.1162139,-59.4757485 13.116173,-59.4758998 13.1160823)",service,yes,,asphalt,,,,yes,,,,
"LINESTRING (-59.4759421 13.1161648,-59.4758319 13.1162002,-59.4758095 13.1162896,-59.4758158 13.1164111,-59.4757807 13.1167742,-59.4757618 13.1169534,-59.4757217 13.1173328,-59.4757032 13.1175175,-59.475693 13.1177287)",service,yes,,asphalt,,,,yes,,,,
"LINESTRING (-59.4766749 13.1174375,-59.47679 13.1174982,-59.4768544 13.1175282,-59.4769412 13.1175323)",secondary,,Highway 6B,asphalt,60,H6B,,yes,1,,,
"LINESTRING (-59.4770253 13.1175204,-59.477175 13.1173166)",primary,,Highway 6,asphalt,60,H6,,yes,,,,
"LINESTRING (-59.4759085 13.1177456,-59.4758909 13.1175522,-59.4761048 13.1175629,-59.4762671 13.1176091)",service,yes,,asphalt,,,parking_aisle,,,,,
"LINESTRING (-59.4767922 13.1176807,-59.4766749 13.1174375)",secondary,,Highway 6B,asphalt,60,H6B,,yes,1,,,
"LINESTRING (-59.4765277 13.1171658,-59.4764024 13.1173776,-59.4762671 13.1176091,-59.4762227 13.1177181,-59.4762016 13.1177703)",service,yes,,asphalt,40,,,,,,,
"LINESTRING (-59.4678401 13.0869848,-59.4670092 13.0870553)",residential,,,,,,,,,,,
"LINESTRING (-59.4688818 13.0868672,-59.4678401 13.0869848)",unclassified,,Gemswick,,,,,,,,,
"LINESTRING (-59.4698853 13.0843633,-59.4693959 13.0842927,-59.4684078 13.0841736,-59.4683029 13.0842052,-59.4682555 13.0842879,-59.468112 13.0850291,-59.4680281 13.0858165,-59.4679735 13.0861192,-59.4678923 13.0864178,-59.4677535 13.0868515,-59.4677589 13.0869077,-59.467775 13.0869482,-59.4678401 13.0869848)",unclassified,,Gemswick,,,,,,,,,
"LINESTRING (-59.4680321 13.0879296,-59.4680257 13.0878796,-59.4679801 13.0878404,-59.4675778 13.087843,-59.4675443 13.087873,-59.4675073 13.0879263)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4571329 13.09042,-59.4573341 13.0903651,-59.4574575 13.0903233,-59.4575419 13.0902893,-59.4577136 13.0902005,-59.4577994 13.0900934,-59.457853 13.0900241)",unclassified,yes,,,,,,,,,,
"LINESTRING (-59.4686974 13.0880825,-59.4685918 13.0872321,-59.4686051 13.0872055,-59.4686574 13.0871781,-59.4688978 13.0871691)",residential,yes,,,,,,,,,,
