WKT,highway,name,surface,noname,oneway,lanes,maxspeed,ref,service,junction,source_1
"LINESTRING (-59.5530742 13.1519568,-59.5527821 13.1519506,-59.5524989 13.1519792,-59.5523333 13.1520546,-59.5521596 13.1521665,-59.5519806 13.1525281)",service,,,,,,,,,,
"LINESTRING (-59.5530849 13.1520518,-59.553282 13.1520153,-59.5535987 13.1520009,-59.5539505 13.1520012,-59.5546662 13.1519769,-59.5553969 13.1519482,-59.5560699 13.151946,-59.5567209 13.1519482,-59.5575256 13.1519762,-59.5577294 13.152022,-59.5577699 13.1520476,-59.5578062 13.1520705)",residential,Cottage Grove,,,,,40,,,,KG Ground Survey 2015
"LINESTRING (-59.5477314 13.1524929,-59.5477164 13.1528507,-59.547645 13.153046,-59.5475325 13.1532296,-59.5475101 13.1533001,-59.5474741 13.1535359,-59.5474597 13.1537884,-59.547515 13.1541686,-59.5475343 13.1543681,-59.547575 13.1547771,-59.5476792 13.1558838,-59.547717 13.1561933,-59.5478156 13.1562581,-59.5481153 13.156291,-59.5484626 13.1562976,-59.5489336 13.1563066)",residential,Cottage Tenantry,,,,,,,,,
"LINESTRING (-59.5558359 13.1368852,-59.5548597 13.1369401,-59.5544993 13.1369746,-59.5542473 13.1370063,-59.5541862 13.137013,-59.55414 13.1370259,-59.5540161 13.1370773,-59.5539348 13.1371449,-59.553879 13.1372373,-59.5538446 13.1373136,-59.5537699 13.137563,-59.5537577 13.1377343,-59.5537707 13.1380068,-59.5538019 13.1383541,-59.5538581 13.1387006,-59.5539013 13.1389252,-59.5539439 13.1391185,-59.5539643 13.1392849,-59.5539179 13.1394455)",residential,Taylor Road,,,,,,,,,
"LINESTRING (-59.5526089 13.1365444,-59.5525697 13.1369285,-59.5526479 13.1373787,-59.552697 13.1376897,-59.5526875 13.1377843,-59.5526501 13.1378789,-59.5525429 13.1379398,-59.5524681 13.1379479,-59.5524 13.1379354,-59.5522972 13.1379072,-59.5522347 13.1378136)",service,,,,,,,,,,
"LINESTRING (-59.5494006 13.1390794,-59.5494431 13.1390566,-59.5501362 13.1390778)",residential,Johnson Road,,,,,,,,,
"LINESTRING (-59.5495269 13.1399456,-59.5494429 13.1398877,-59.5494219 13.1398373,-59.5494086 13.1397373,-59.5493823 13.139489,-59.5493783 13.1391144,-59.5494006 13.1390794)",residential,Johnson Road,,,,,,,,,
"LINESTRING (-59.5470943 13.136564,-59.5470345 13.1367025,-59.5469893 13.1369314,-59.5469866 13.1370504,-59.547064 13.1373104,-59.547277 13.1378309,-59.5474856 13.1381953,-59.5477143 13.1386168,-59.5478932 13.1389957,-59.5480597 13.1392939,-59.5484175 13.1398621,-59.5485892 13.1401546,-59.5486078 13.1401741,-59.5488209 13.140397,-59.5490576 13.1406252,-59.5492295 13.1407346)",unclassified,Jordan Road,,,,,,,,,
"LINESTRING (-59.5621306 13.1224836,-59.5616326 13.1225249,-59.5607974 13.1225814,-59.5591507 13.1226838,-59.5586291 13.12275,-59.5582914 13.1227678,-59.5581143 13.1227489,-59.5579544 13.1227217,-59.5576615 13.1226349,-59.5575337 13.1225608,-59.5573901 13.1224784,-59.5571621 13.1223401,-59.5569609 13.1222509,-59.5567946 13.1221919,-59.5565266 13.1221508,-59.5562086 13.1221376,-59.5544174 13.1221954,-59.5535208 13.122228,-59.55263 13.1222471,-59.5518478 13.1222264,-59.5517209 13.1222161,-59.5515992 13.1221976,-59.5514898 13.1221758,-59.5513746 13.1221442,-59.5508607 13.121927,-59.550534 13.1217996,-59.5505118 13.1217928,-59.5503922 13.1217561,-59.5502892 13.1217376,-59.5500665 13.1217205,-59.5498377 13.1217239,-59.5496171 13.1217335,-59.5492951 13.1217389,-59.549019 13.1217259,-59.5489614 13.1217226,-59.5485638 13.1217,-59.5482071 13.1216746,-59.5478694 13.1216673,-59.547842 13.1216679,-59.5476511 13.1216724,-59.5474849 13.1217044,-59.5471853 13.1217968,-59.5469715 13.1218819,-59.5465603 13.1220458,-59.5461761 13.1221922,-59.5457641 13.122364,-59.5449693 13.1226859,-59.5443091 13.122986,-59.5439309 13.1231479,-59.543655 13.1232734,-59.5433757 13.1233724,-59.5430292 13.1234712,-59.5427133 13.1236377,-59.5425554 13.1237616,-59.5424295 13.1238889,-59.5423092 13.1240778,-59.5422054 13.1243033,-59.5419643 13.12486,-59.5418459 13.1251467,-59.5417755 13.1253238,-59.5417423 13.1254075,-59.5416321 13.1256502,-59.5413947 13.126126,-59.5411103 13.1266779,-59.5407789 13.1272927,-59.5404595 13.1278566,-59.5402802 13.1281624,-59.5401868 13.1283215,-59.5401655 13.1283578,-59.540089 13.1285444,-59.5400374 13.1286938,-59.5399085 13.1289899,-59.5397292 13.1292549,-59.5395348 13.1295734,-59.539285 13.130049,-59.5391311 13.1304001,-59.5389579 13.1308712,-59.5387855 13.1313438,-59.5387276 13.131469,-59.5386448 13.1315851,-59.5383719 13.1318314,-59.5380658 13.1320871,-59.5377704 13.1322689,-59.537414 13.132423,-59.5372901 13.1324954,-59.5371892 13.1325573,-59.5369832 13.1327325,-59.5368309 13.1329373,-59.5365423 13.1333312,-59.5365058 13.1333821,-59.536307 13.1336742,-59.5361588 13.1338967,-59.5360408 13.1340136,-59.5359929 13.134053,-59.5359378 13.134078,-59.5358396 13.1341009,-59.5357759 13.1341022,-59.5355773 13.134078,-59.5353274 13.1340374,-59.534978 13.1339842,-59.5348197 13.1339659,-59.5345079 13.1340058,-59.5343954 13.1340273,-59.5341372 13.1340766,-59.5337705 13.1341639,-59.5336576 13.134216,-59.5335688 13.1342665,-59.5334617 13.1343393,-59.5333795 13.1344016,-59.5330948 13.1346291,-59.5327208 13.1349282,-59.5325073 13.1351317,-59.5324814 13.13522,-59.5324615 13.1352905,-59.5324513 13.1353659,-59.5324539 13.1354575,-59.5324462 13.135581,-59.5324137 13.1356827,-59.5323647 13.1357577,-59.5323126 13.1358076,-59.5321979 13.1358942,-59.5320414 13.1359684,-59.5319287 13.1360534,-59.5318888 13.1361101,-59.5318499 13.1361861,-59.5317986 13.1363154,-59.5317588 13.1364749,-59.5316519 13.1369725,-59.5316035 13.1370975,-59.5315378 13.1372159,-59.5314583 13.1373363,-59.5312889 13.1375545,-59.5309987 13.1378548,-59.5308875 13.1379667,-59.5302278 13.1387353,-59.5296417 13.1394317,-59.5290471 13.140103,-59.5285626 13.1406074,-59.5283116 13.1408782,-59.5281409 13.1410562,-59.5280816 13.1411169,-59.5278248 13.1413131,-59.5275658 13.1414986,-59.5272337 13.1417216,-59.5269614 13.1418816,-59.5264539 13.1421632,-59.5261271 13.1422855,-59.5257557 13.1423811,-59.5254654 13.1424623,-59.5252825 13.1425526,-59.5252089 13.1426407,-59.5251637 13.1427448,-59.5251352 13.1428595,-59.5251172 13.1431752,-59.5251096 13.1440007,-59.5250744 13.1441413,-59.5250119 13.1442277,-59.5249523 13.144286,-59.5249201 13.1443095,-59.5247895 13.1443964,-59.5246769 13.1444781,-59.5245525 13.1445933,-59.524389 13.1448106,-59.5242783 13.1450222,-59.5242292 13.1451765,-59.5241783 13.145423,-59.5241597 13.1456526,-59.5241061 13.1458204,-59.5240004 13.1459901,-59.5239807 13.1460158,-59.5236859 13.1464018,-59.5233857 13.1468477,-59.5231982 13.1471966,-59.5231386 13.1473075,-59.5230027 13.1475953,-59.5229112 13.1477096,-59.522824 13.1478028,-59.5227341 13.1478567,-59.5226236 13.1478964,-59.5223908 13.1479796,-59.5220922 13.1481662,-59.5218321 13.1484159,-59.5215928 13.1486912,-59.5215284 13.1488068,-59.5214882 13.1489263,-59.5214708 13.1490529,-59.5214734 13.1491626,-59.5215258 13.1493651,-59.5215673 13.1495962,-59.5215539 13.1497046,-59.5215271 13.1498182,-59.5214386 13.1500154,-59.5213179 13.1502675,-59.5211502 13.1506619,-59.5210832 13.1508813,-59.5210014 13.1510223,-59.5207841 13.1511242,-59.5204023 13.1512071,-59.519821 13.1513034,-59.519571 13.1513516,-59.518608 13.1515175,-59.5182688 13.1516709,-59.5181823 13.1517195,-59.5179483 13.1518333,-59.5177004 13.1519316,-59.5175527 13.1519626,-59.5173866 13.1519631,-59.5166248 13.1519022,-59.5151839 13.1517223,-59.5149727 13.151706,-59.514523 13.1516119,-59.5142312 13.1515719,-59.5138993 13.1515985,-59.513601 13.1516969,-59.5132558 13.1518575,-59.5119052 13.1524829,-59.511682 13.152556,-59.5114588 13.152613,-59.5112394 13.152695,-59.511071 13.1527864,-59.5109401 13.1529322,-59.5108334 13.1532169,-59.5105278 13.1543446,-59.5104385 13.1545926,-59.5102757 13.1549138,-59.5100073 13.1554017,-59.5097405 13.1558406,-59.5095648 13.1560602,-59.5094826 13.1561146,-59.5093903 13.1561353)",primary,Highway 4,asphalt,,,,60,H4,,,
"LINESTRING (-59.5508251 13.1582025,-59.5508212 13.1581041,-59.5508173 13.1580066,-59.5508267 13.1575846,-59.5508298 13.1574447,-59.550831 13.1571249,-59.550823 13.1567818,-59.5508458 13.1565725,-59.5509037 13.1564003,-59.5509769 13.1562521,-59.5511067 13.1560489,-59.5513694 13.1557646,-59.5519446 13.1553106,-59.5519696 13.1552904,-59.5523584 13.154976,-59.5524565 13.1548587,-59.5525206 13.1547595,-59.5525922 13.154616,-59.5526412 13.1544876,-59.5526936 13.1543398,-59.5527794 13.1540835,-59.5528718 13.153814,-59.5529773 13.1534851,-59.5531353 13.1529234,-59.5531621 13.1527234,-59.553164 13.1525163,-59.5531213 13.1522514,-59.5530849 13.1520518,-59.5530742 13.1519568,-59.5530024 13.1513196,-59.5529288 13.1506233,-59.5529231 13.1500074,-59.5529354 13.1497603,-59.5529627 13.1495044,-59.552993 13.1493259,-59.5530626 13.1489615,-59.5531118 13.1487263,-59.5531555 13.1485063,-59.5532138 13.1481874,-59.5532636 13.1479217,-59.5532962 13.1476964,-59.5533103 13.1475498,-59.5533389 13.1473501,-59.5533642 13.1471066,-59.5534109 13.1468552,-59.5534367 13.1467465,-59.5535138 13.1464933,-59.5536053 13.1462189,-59.5536744 13.1458715,-59.5536808 13.14568,-59.5536811 13.1454255,-59.553702 13.1451803,-59.5537377 13.1449166,-59.5538218 13.1445882,-59.5539136 13.1441666,-59.5539409 13.1440173,-59.553985 13.1438786,-59.5540604 13.143715,-59.5541348 13.1435681,-59.5542419 13.1434083,-59.554364 13.1432259,-59.5544853 13.1430784,-59.5545667 13.1429795,-59.5546115 13.1428897,-59.5546671 13.142745,-59.5547069 13.1425707,-59.554717 13.142526,-59.5547511 13.1424232,-59.5547773 13.1423726,-59.5548196 13.1423202,-59.5548432 13.1422878,-59.5549764 13.1421672,-59.5550213 13.1421399,-59.5551875 13.1420732,-59.5554031 13.142012,-59.5556422 13.1419526,-59.555794 13.1419241,-59.5559124 13.1418985,-59.5560188 13.141868,-59.5561112 13.1418316,-59.5562117 13.1417762,-59.5563817 13.141644,-59.5565444 13.1414799,-59.5567022 13.1413173,-59.5568174 13.1411515,-59.5568834 13.1410167,-59.5569174 13.1409019,-59.5569491 13.1406645,-59.5569727 13.1405235,-59.5570028 13.1403843,-59.5570364 13.1402708,-59.5571157 13.1401359,-59.557206 13.1400532,-59.5573632 13.1399745,-59.5576313 13.1399279,-59.5577867 13.1398915,-59.5578544 13.1398714,-59.558053 13.1398095,-59.5582158 13.1396965,-59.5583464 13.1395582,-59.5584448 13.1394318,-59.5586065 13.1392545,-59.5587266 13.1391241,-59.5588934 13.1389571,-59.559048 13.1388206,-59.5592245 13.1386632,-59.5593991 13.138479,-59.5595377 13.1383101,-59.5597037 13.1381078,-59.5598983 13.1378805,-59.5601695 13.1375601,-59.5602969 13.1373939,-59.5603595 13.1372966,-59.5604334 13.1371953,-59.5605845 13.1370117,-59.5607942 13.1368207,-59.5609462 13.1367108,-59.5611969 13.1365326,-59.5615405 13.1362779,-59.5618766 13.1360345,-59.5620805 13.1358924,-59.5622907 13.1357236,-59.5624491 13.1355465,-59.562619 13.1353289,-59.5627316 13.135151,-59.5628171 13.1349554,-59.5629101 13.1346306,-59.562932 13.1345455,-59.5630014 13.1342643,-59.5630573 13.1340598,-59.5631352 13.1338549,-59.5633207 13.1334799,-59.5635222 13.1331684,-59.5636558 13.1329963,-59.5637748 13.132805,-59.5638227 13.1326755,-59.5638431 13.1325663,-59.5638574 13.1324852)",tertiary,Highway X,,,,,60,HX,,,KG Ground Survey 2015
