WKT,highway,noname,name,maxspeed,ref,surface,source_1,oneway,service,lanes
"LINESTRING (-59.5016568 13.1196692,-59.5012216 13.1196127,-59.5010659 13.1195587,-59.5010053 13.1194971,-59.5009789 13.1194174,-59.5009659 13.1192532)",residential,,,,,,,,,
"LINESTRING (-59.4994322 13.1212442,-59.4994734 13.1211161,-59.4994567 13.120981,-59.499428 13.1208529,-59.4993777 13.1206759,-59.4993467 13.1205292,-59.4992869 13.1204127,-59.4992223 13.1203219,-59.4991171 13.1201961,-59.499007 13.1200866,-59.4988492 13.1199445,-59.4987201 13.1198188,-59.4986292 13.1197326,-59.4985216 13.1195812,-59.4985048 13.1195066,-59.4985192 13.1193087,-59.4985311 13.1191829,-59.4985144 13.1190478,-59.498576 13.1189575)",track,yes,,,,unpaved,,,,
"LINESTRING (-59.5011167 13.1220042,-59.5009588 13.1220054,-59.5008224 13.1219714,-59.500731 13.1219747,-59.5006345 13.1219828,-59.5005182 13.1219747,-59.5004051 13.1219763,-59.5002405 13.1220006,-59.5001274 13.122033,-59.5000496 13.122036)",service,yes,,,,,,,,
"LINESTRING (-59.5011131 13.1213963,-59.5010992 13.1214278,-59.501102 13.1218612,-59.5011167 13.1220042,-59.5010931 13.1223209,-59.5010884 13.1224651,-59.5010722 13.1225568,-59.5010344 13.1226329,-59.5009233 13.1227886,-59.5008551 13.1229466,-59.5008198 13.1230611,-59.5007775 13.1230955,-59.5007258 13.1231092,-59.5004036 13.1231001,-59.5002978 13.1231001,-59.5001304 13.1231227)",residential,,Brereton Village No. 2,,,asphalt,,,,
"LINESTRING (-59.5003635 13.1211975,-59.5001397 13.121193,-59.4999244 13.1211883,-59.4995848 13.1212093,-59.4994322 13.1212442,-59.4993815 13.1212559,-59.4992596 13.1213816,-59.4991639 13.1214305,-59.4989558 13.1214632,-59.4987549 13.1215633,-59.4987071 13.121724,-59.4986425 13.1218871,-59.4984751 13.1219826,-59.498444 13.122127,-59.4985373 13.1222248,-59.4986162 13.1223273,-59.4986234 13.1225299,-59.4985875 13.122679,-59.4984153 13.1227325,-59.4981905 13.1227139,-59.4978916 13.1227162)",track,yes,,,,,,,,
"LINESTRING (-59.500534 13.1194253,-59.5005187 13.1198255,-59.5004873 13.1203477,-59.5004372 13.1210094,-59.5003635 13.1211975,-59.5002817 13.1214038,-59.5002267 13.1215932,-59.5001663 13.1217304,-59.5001006 13.1218949,-59.5000496 13.122036,-59.5000175 13.1224004,-59.4999719 13.1226002,-59.4999356 13.1229058,-59.4999504 13.1229842,-59.499998 13.1230508,-59.5001304 13.1231227,-59.5001663 13.1231814,-59.5001777 13.1232702,-59.5001636 13.1236555,-59.5001583 13.1240748,-59.5001428 13.1243066,-59.5001428 13.1248408,-59.5001362 13.1250786,-59.5001782 13.1263758,-59.500222 13.1270494,-59.5002729 13.1277442)",residential,,Evelyn Road,,,asphalt,,,,
"LINESTRING (-59.5001362 13.1250786,-59.4997695 13.1250647,-59.4997103 13.1250762,-59.4996664 13.1251091,-59.499609 13.1252013)",residential,,,,,,,,,
"LINESTRING (-59.4983645 13.1262522,-59.4984954 13.1259944,-59.4985233 13.1258902,-59.4985398 13.1256744,-59.4985698 13.1251076,-59.498637 13.1248344,-59.4987528 13.1245371,-59.4991525 13.123653,-59.499162 13.1235804,-59.4991555 13.1235109,-59.4991325 13.1234537,-59.4990778 13.1233949,-59.4990166 13.1233688,-59.4983122 13.1233468,-59.4981656 13.1233801,-59.4980276 13.1234696,-59.4978881 13.1236148,-59.4977122 13.123842,-59.497604 13.1239216,-59.4974627 13.1239638,-59.4971941 13.1240018,-59.4971122 13.1240273,-59.4970608 13.1240652,-59.4970142 13.1241195,-59.4969903 13.1241887,-59.4969856 13.1244695)",residential,yes,,,,,,,,
"LINESTRING (-59.4985698 13.1251076,-59.4977258 13.1250526,-59.4969244 13.1250332)",residential,yes,,,,,,,,
"LINESTRING (-59.4985398 13.1256744,-59.4972451 13.1256352,-59.4971817 13.1256555,-59.4971327 13.1256881,-59.4971074 13.125741,-59.4970909 13.1258036,-59.4971173 13.1261679)",residential,yes,,,,,,,,
"LINESTRING (-59.5010868 13.1265318,-59.5001782 13.1263758)",residential,,,,,,,,,
"LINESTRING (-59.500222 13.1270494,-59.4993606 13.1270542,-59.4993166 13.1270673,-59.499293 13.1270887,-59.4992828 13.1271233,-59.4992727 13.1272714)",residential,,,,,,,,,
"LINESTRING (-59.5005038 13.129176,-59.5006211 13.1290159,-59.5007519 13.1289564,-59.5009019 13.1289202,-59.500998 13.1288262,-59.5010315 13.1286952,-59.5010483 13.1285281,-59.5010601 13.1284089,-59.5009271 13.1283799,-59.5008087 13.1283582,-59.5006446 13.1283191,-59.5005695 13.128225,-59.500591 13.1280161,-59.5006135 13.1278735,-59.5006145 13.1277546)",residential,,Hamblin Road,,,,,,,
"LINESTRING (-59.4998769 13.129046,-59.4998744 13.1282407)",residential,,,,,,,,,
"LINESTRING (-59.498507 13.1288858,-59.4985915 13.1286044,-59.4986141 13.1283721,-59.4986104 13.1281982,-59.4985728 13.1279726,-59.4985365 13.1278227,-59.4985104 13.1277298,-59.4984529 13.1276063,-59.4983855 13.1274947,-59.4982765 13.12735,-59.4980058 13.1270504,-59.4978627 13.1269207,-59.497612 13.1266585,-59.4974816 13.1265299,-59.4973629 13.1264072,-59.4972611 13.1262894,-59.4971999 13.1262263,-59.4971173 13.1261679,-59.4969921 13.1260952,-59.4968564 13.1260215,-59.4967222 13.1259489,-59.496601 13.1258439,-59.4965001 13.1257147,-59.4964196 13.1255804,-59.496373 13.1254514,-59.4963607 13.1253246,-59.4963791 13.125143,-59.4964526 13.1247657,-59.4964958 13.1246807,-59.4965377 13.1246381,-59.4966303 13.1245938,-59.4967527 13.1245398,-59.4969856 13.1244695,-59.4971066 13.1244556,-59.4972842 13.1244595,-59.497643 13.1244777,-59.4980344 13.1244882,-59.4987528 13.1245371)",residential,,Sunbury Tenantry Road,,,,,,,
"LINESTRING (-59.496979 13.126646,-59.4974724 13.1266374)",residential,,,,,,,,,
"LINESTRING (-59.4971633 13.1274959,-59.4975033 13.127491,-59.4975342 13.1274832,-59.4975583 13.127461,-59.4975677 13.1274244,-59.4974724 13.1266374,-59.4974816 13.1265299)",residential,,,,,,,,,
"LINESTRING (-59.4992995 13.1279409,-59.4991156 13.1278761,-59.4987857 13.1277873,-59.4985104 13.1277298)",residential,,,,,,,,,
"LINESTRING (-59.498507 13.1288858,-59.4988835 13.1289401,-59.4992274 13.1289573,-59.4995536 13.1289991,-59.4998769 13.129046,-59.499957 13.1290576,-59.5003261 13.1291161,-59.5005038 13.129176)",residential,yes,,,,,,,,
"LINESTRING (-59.5004983 13.1329831,-59.5004634 13.1328637,-59.5004376 13.1326714,-59.5004376 13.1325126,-59.5004376 13.1321783,-59.5004977 13.1310331,-59.500532 13.1306068,-59.5005664 13.130005,-59.5006007 13.1296289,-59.5005921 13.1294199,-59.5005855 13.12931,-59.5005835 13.1292778,-59.5005795 13.1292196,-59.5005038 13.129176)",track,yes,,,,,,,,
"LINESTRING (-59.4976556 13.1303149,-59.4979405 13.1328493)",track,yes,,,,,,,,
