WKT,highway,noname,name,surface,maxspeed,ref,lanes,oneway,service,bridge,layer
"LINESTRING (-59.6352266 13.2452316,-59.6352913 13.2452115,-59.6354013 13.2451018,-59.635526 13.244846,-59.6356722 13.2444752,-59.6357741 13.244393,-59.6363025 13.2442246)",service,,,,,,,,,,
"LINESTRING (-59.6342905 13.2467179,-59.6338619 13.2453987)",track,yes,,,,,,,,,
"LINESTRING (-59.6355 13.2463451,-59.6342905 13.2467179,-59.6329349 13.2471699,-59.632542 13.2458051)",track,yes,,,,,,,,,
"LINESTRING (-59.6382417 13.2497531,-59.6382809 13.2490829)",residential,yes,,,,,,,,,
"LINESTRING (-59.6341002 13.2516003,-59.6336687 13.2512376)",track,yes,,,,,,,,,
"LINESTRING (-59.6355785 13.252188,-59.6356965 13.2522506,-59.6358252 13.2523029)",tertiary,,Whim Road,,,,,,,yes,1
"LINESTRING (-59.638337 13.2531072,-59.6383212 13.2530968,-59.6378579 13.2524415)",residential,,Endeavour Close,asphalt,,,,,,,
"LINESTRING (-59.6358252 13.2523029,-59.6359432 13.2523029,-59.6360515 13.252304,-59.6363238 13.2522622,-59.6364619 13.2522543,-59.6365853 13.2523,-59.6366966 13.2524188,-59.6367797 13.2525924,-59.6368924 13.2527791,-59.6370493 13.2529997,-59.6371539 13.2531277,-59.6373215 13.2533143,-59.6374811 13.2534357,-59.6376783 13.2535911)",tertiary,,The Whim,asphalt,,,2,,,,
"LINESTRING (-59.6381526 13.2532241,-59.6381288 13.2532012,-59.6380028 13.2530942,-59.6377614 13.2529688,-59.6373161 13.2527548)",residential,yes,,asphalt,,,,,,,
"LINESTRING (-59.631522 13.2517088,-59.6315282 13.250926,-59.6315159 13.2502448)",residential,yes,,,,,,,,,
"LINESTRING (-59.6300723 13.2524568,-59.6303986 13.2510933,-59.6304661 13.2510216,-59.6306012 13.2509857,-59.6315282 13.250926,-59.6321851 13.2509798)",residential,yes,,,,,,,,,
"LINESTRING (-59.6399754 13.2527998,-59.6400695 13.2531507)",residential,yes,,asphalt,,,,,,,
"LINESTRING (-59.6401725 13.2534765,-59.6400898 13.2537946,-59.6399972 13.2541353)",residential,yes,,,,,,,,,
"LINESTRING (-59.6402179 13.2553081,-59.6389662 13.2548003,-59.6385749 13.2548945)",residential,,9th Ave North Drive,asphalt,,,,,,,
"LINESTRING (-59.6390237 13.2559039,-59.6399619 13.2555689,-59.6402179 13.2553081,-59.6403309 13.2551929)",residential,,7th Ave North Drive,asphalt,,,,,,,
"LINESTRING (-59.6403218 13.2570619,-59.640314 13.2578663,-59.6402197 13.2581049)",residential,,5th Ave North Drive,asphalt,,,,,,,
"LINESTRING (-59.640414 13.2581411,-59.6402197 13.2581049,-59.6399221 13.2580607)",residential,,5th Avenue North Drive,asphalt,,,,,,,
"LINESTRING (-59.640228 13.2592958,-59.6394896 13.2591764)",residential,yes,,asphalt,,,,,,,
"LINESTRING (-59.6398817 13.2511552,-59.6399836 13.2509594)",residential,,Round the Town,,,,,,,yes,1
