WKT,highway,name,surface,maxspeed,service,lit,oneway,access,foot,lcn,ref,bicycle,est_width,sidewalk,is_in,is_in:county,segregated,lanes,is_in:city,cycleway,addr:postcode,motor_vehicle,layer,bridge,tracktype,traffic_calming,path,abutters
"LINESTRING (-1.198998 52.936625,-1.1989928 52.9366098,-1.1989704 52.9365949,-1.1989422 52.9365864,-1.198246 52.9364123,-1.1981188 52.9363775,-1.1980435 52.9363456,-1.1979179 52.9362777,-1.1978235 52.9362131,-1.1977582 52.9361645)",tertiary,,,20 mph,,,yes,,,,,permissive,,,,,,,,,,destination,,,,,,
"LINESTRING (-1.1977582 52.9361645,-1.197865 52.9361175,-1.2003054 52.9350161,-1.2004308 52.9349715,-1.2005689 52.9349329,-1.200702 52.9349038,-1.2007947 52.9348906)",tertiary,Jubilee Avenue,asphalt,20 mph,,,yes,destination,permissive,,,permissive,,,"Nottingham,Nottinghamshire,United Kingdom",Nottinghamshire,,,Nottingham,,,destination,,,,,,
"LINESTRING (-1.2007947 52.9348906,-1.2008893 52.9348828,-1.2010387 52.9348762,-1.2012075 52.9348894,-1.2013446 52.9349302,-1.2016399 52.9350837)",tertiary,Jubilee Avenue,asphalt,20 mph,,,yes,destination,permissive,,,permissive,,,"Nottingham,Nottinghamshire,United Kingdom",Nottinghamshire,,,Nottingham,,,destination,,,,,,
"LINESTRING (-1.2016399 52.9350837,-1.2015967 52.9351148,-1.2015044 52.9351813,-1.2014513 52.9352274,-1.2012501 52.9354259,-1.2010685 52.9355298,-1.2010121 52.935561,-1.2007915 52.935664,-1.2002879 52.935906,-1.1997703 52.9361953,-1.1991548 52.9365841,-1.1990904 52.9366044,-1.198998 52.936625)",tertiary,Cut Through Lane,asphalt,20 mph,,,yes,,no,,,permissive,,,"Nottingham,Nottinghamshire,United Kingdom",Nottinghamshire,,,Nottingham,,,destination,,,,,,
"LINESTRING (-1.2016399 52.9350837,-1.2019826 52.9352563,-1.2020391 52.9352848,-1.2021116 52.9353039,-1.2021857 52.9353059)",tertiary,Jubilee Avenue,,20 mph,,,no,,permissive,,,permissive,,,"Nottingham,Nottinghamshire,United Kingdom",Nottinghamshire,,,Nottingham,,,destination,,,,,,
"LINESTRING (-1.2047538 52.9370207,-1.204519 52.9370416,-1.2042329 52.9370265,-1.203976 52.936994,-1.2035214 52.9369362,-1.2032687 52.9369235,-1.2028721 52.9369427,-1.2025439 52.9369872,-1.2022404 52.9370332,-1.2018512 52.9371204,-1.2015009 52.9372158,-1.2010463 52.9373477,-1.2009671 52.9373693,-1.2009394 52.9374352,-1.2009362 52.9375553,-1.2009163 52.9376767,-1.200843 52.9378186,-1.2008567 52.9378729,-1.200916 52.9379115,-1.2009635 52.937963,-1.2009564 52.9380145,-1.2008828 52.9380631,-1.2008069 52.9381032,-1.2006597 52.9381332,-1.2005173 52.9381704,-1.2004532 52.9382176,-1.2002882 52.9383921)",service,,,,,,,private,,,,,,,"Nottingham,Nottinghamshire,United Kingdom",Nottinghamshire,,,Nottingham,,,,,,,,,
"LINESTRING (-1.2025332 52.9386837,-1.2025889 52.9386762,-1.2026733 52.9386649,-1.2028505 52.9386448,-1.2029861 52.9386186,-1.2031561 52.9385461,-1.2035725 52.9383278,-1.2038543 52.9381951,-1.2042252 52.9380074,-1.2044613 52.9378699,-1.2045751 52.9378321,-1.2047184 52.9378216,-1.2048962 52.9378393)",service,,,,,,,delivery,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2074277 52.9374173,-1.2071527 52.9377991,-1.2070859 52.9378494,-1.2069917 52.9378778,-1.2068683 52.9379044)",service,,,20 mph,,,,,permissive,,,permissive,,,,,,,,,,destination,,,,,,
"LINESTRING (-1.2080661 52.9378828,-1.2081081 52.9378945,-1.2087253 52.9380676)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2056037 52.9367915,-1.2052436 52.9369352,-1.2049163 52.936989,-1.2048017 52.9370092,-1.2047538 52.9370207)",service,,,,,,,,permissive,,,permissive,,,,,,,,,,destination,,,,,,
